Course_ID,Section_ID,Title,Details,Meetings_Days,Meetings_Time,Term_Dates,Instructor,Instructor_last,CU,Starting_Time,Term,base_course_quality,base_instructor_quality,base_difficulty,base_work_required,review_rCourseQuality,review_rInstructorQuality,review_rDifficulty,review_rWorkRequired
FNCE-7310,FNCE-7310‐401,Global Valuation and Risk Analysis,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Lewis,Lewis,1.0,1:45p,Full,2.895,3.063,2.992,3.194,2.467777777777778,2.558333333333333,2.6333333333333333,3.063888888888889
FNCE-7310,FNCE-7310‐402,Global Valuation and Risk Analysis,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Lewis,Lewis,1.0,3:30p,Full,2.895,3.063,2.992,3.194,2.467777777777778,2.558333333333333,2.6333333333333333,3.063888888888889
FNCE-7320,FNCE-7320‐401,International Banking,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Goldstein,Goldstein,1.0,1:45p,Full,2.823,3.031,2.666,2.571,2.6,3.0,2.49,2.47
FNCE-7320,FNCE-7320‐401,International Banking,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Harris,Harris,1.0,1:45p,Full,2.823,3.031,2.666,2.571,2.6,2.75,2.49,2.47
FNCE-7380,FNCE-7380‐001,Capital Markets,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Musto,Musto,1.0,10:15a,Full,2.517,2.505,2.567,2.459,2.5242105263157897,2.447894736842105,2.5497368421052626,2.4728947368421057
FNCE-7390,FNCE-7390‐001,Behavioral Finance,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Guenzel,Guenzel,1.0,3:30p,Full,2.266,2.384,2.124,2.146,2.165,2.5300000000000002,2.12,2.1550000000000002
FNCE-7450,FNCE-7450‐401,Hedge Funds,Cannot be taken Pass/Fail.,M,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Yilmaz,Yilmaz,1.0,3:30p,Full,,,,,,,,
FNCE-7500,FNCE-7500‐001,Venture Capital and the Finance of Innovation,Cannot be taken Pass/Fail.,TR,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Zandberg,Zandberg,1.0,8:30a,Full,3.047,3.204,2.811,2.63,2.822,3.086,3.047,3.1069999999999998
FNCE-7500,FNCE-7500‐002,Venture Capital and the Finance of Innovation,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Zandberg,Zandberg,1.0,10:15a,Full,3.047,3.204,2.811,2.63,2.822,3.086,3.047,3.1069999999999998
FNCE-7500,FNCE-7500‐003,Venture Capital and the Finance of Innovation,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Zandberg,Zandberg,1.0,1:45p,Full,3.047,3.204,2.811,2.63,2.822,3.086,3.047,3.1069999999999998
FNCE-7510,FNCE-7510‐001,The Finance of Buyouts and Acquisitions,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Q1, 20 Jan - 2 Mar",Yilmaz,Yilmaz,0.5,10:15a,Q1,3.37,3.455,2.79,3.015,,,,
FNCE-7540,FNCE-7540‐001,ESG and Impact Investing,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Geczy,Geczy,1.0,1:45p,Full,2.266,2.674,2.023,2.125,2.2659090909090907,2.6740909090909097,2.023181818181818,2.1245454545454545
FNCE-7570,FNCE-7570‐401,Foundations of Asset Pricing,Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Wachter,Wachter,1.0,10:15a,Full,2.8,3.1,3.89,2.78,2.8,3.1,3.89,2.78
FNCE-7610,FNCE-7610‐401BEPP-7610‐401OIDD-7610‐401,Climate Risks and Opportunities,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Sastry,Sastry,1.0,1:45p,Full,,,,,,,,
FNCE-7610,FNCE-7610‐402BEPP-7610‐402OIDD-7610‐402,Climate Risks and Opportunities,Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Sastry,Sastry,1.0,3:30p,Full,,,,,,,,
FNCE-7680,FNCE-7680‐401,Trading Securities,Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Wachter,Wachter,1.0,1:45p,Full,,,,,,,,
FNCE-7830,FNCE-7830‐002,Strategic Equity Finance,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Q2, 16 Mar - 23 Apr",Musto,Musto,0.5,1:45p,Q2,3.039,3.01,2.545,2.619,3.0261538461538464,2.5715384615384616,2.5438461538461534,2.617692307692308
FNCE-7830,FNCE-7830‐002,Strategic Equity Finance,Cannot be taken Pass/Fail.,TR,1:45p - 3:14p,"Q2, 16 Mar - 23 Apr",Sweeney,Sweeney,0.5,1:45p,Q2,3.039,3.01,2.545,2.619,3.17,3.51,2.17,2.27
FNCE-8010,FNCE-8010‐001,Advanced Topics in Private Equity,Cannot be taken Pass/Fail.,T,5:15p - 8:14p,"Full, 20 Jan - 23 Apr",Bard,Bard,1.0,5:15p,Full,2.969,3.202,2.562,2.51,2.948,3.2379999999999995,2.5260000000000007,2.472
HCMG-8450,HCMG-8450‐001,US Payer and Provider Strategy,,T,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Fluegel,Fluegel,1.0,3:30p,Full,2.726,2.864,1.978,2.029,2.6166666666666667,2.829166666666667,1.9450000000000003,2.006666666666667
HCMG-8450,HCMG-8450‐001,US Payer and Provider Strategy,,T,3:30p - 6:29p,"Full, 20 Jan - 23 Apr",Gupta,Gupta,1.0,3:30p,Full,2.726,2.864,1.978,2.029,2.7271428571428578,2.6228571428571428,1.877142857142857,1.9614285714285713
HCMG-8630,HCMG-8630‐001,Management and Economics of Pharmaceutical and Biotech Industries,,MW,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Alpert,Alpert,1.0,10:15a,Full,2.92,2.974,2.109,2.17,3.1500000000000004,3.0387500000000003,1.98375,2.055
HCMG-8660,HCMG-8660‐001,The Digital Transformation of Health Care,,R,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Patel,Patel,0.5,3:30p,Full,2.361,2.812,1.585,1.695,2.4440000000000004,2.8869999999999996,1.539,1.6810000000000003
